date_1,day,month,year,temp2_c,temp2_max_c,temp2_min_c,temp2_ave_c,surface_pressure_pa,wind_speed50_max_m_s,wind_speed50_min_m_s,wind_speed50_ave_m_s,prectotcorr,total_demand_mw,date_2,max_generation_mw
17-02-18,22.568038487707767,1.7411011335566535,-8.9287030806618e-34,360132046338.7124,7433.246790809485,1260768.1947854997,111227371960.4375,11145048580315857e4,2.4704209941136654,0.7653060739792353,1.2357411501389872,0.0039810717055349205,90.00000000005555,17-02-18,-0.16507574266184083
18-02-18,24.03254454041229,1.7411011335566535,-8.9287030806618e-34,671725460038.134,7977.555163405021,2416985.5869173147,184666295398.13263,11090046724075212e4,2.291835423633731,0.7235085686946043,1.1938318539279182,0.0039810717055349205,91.92388155430558,18-02-18,-0.16386062518522876
19-02-18,25.505213383046275,1.7411011335566535,-8.9287030806618e-34,818032677378.3834,8586.716753201443,1900485.6067395376,186798110866.2223,11178167416842689e4,2.374602445257589,0.7235085686946043,1.210426831012382,0.0039810717055349205,92.73618495501096,19-02-18,-0.16352969197623185
20-02-18,26.985656968313492,1.7411011335566535,-8.9287030806618e-34,877234835924.6173,8864.732387713855,2799484.743517231,247645219430.6801,11156078366726963e4,2.3358099014855616,0.9173147583116605,1.2412050917259065,0.0039810717055349205,93.27379053094177,20-02-18,-0.16352204343233945
21-02-18,28.47352425548561,1.7411011335566535,-8.9287030806618e-34,940203884228.4841,9429.022762982137,3426726.05258893,314422492213.38385,109481833552461e6,2.803112597581652,0.8536023571809244,1.3124191584415248,0.0039810717055349205,91.65151389917136,21-02-18,-0.16729528815071948
22-02-18,29.968496079166727,1.7411011335566535,-8.9287030806618e-34,884041668186.3134,9190.53209469662,2658240.70981953,258373837439.3191,10915678504791618e4,2.564672162190711,0.9245858001797155,1.2846986846999873,0.0039810717055349205,92.73618495501096,22-02-18,-0.163694656811291
23-02-18,31.47028093155266,1.7411011335566535,-8.9287030806618e-34,1560756704656.722,10652.041328319574,4200909.916040167,450118548844.56055,11002551737502438e4,2.927942792639791,1.1014473106380385,1.3917779418098104,0.0039810717055349205,87.7496438739782,23-02-18,-0.1658056867377434
24-02-18,32.97861146271464,1.7411011335566535,-8.9287030806618e-34,1726316942379.1602,11526.68068080466,4276634.352237984,531956622752.2834,11222463644156918e4,2.4846558657570217,1.149262240786969,1.336554661830386,0.3492500040684315,92.1954445729831,24-02-18,-0.16241681032588529
25-02-18,34.493241551707555,1.7411011335566535,-8.9287030806618e-34,2344512346992.8765,12424.774093620548,4631231.047769286,646611075439.6805,11156078366726963e4,2.712472427055042,0.729827825032366,1.2762741248244522,0.4299771698706853,95.91663046630653,25-02-18,-0.162730679415152
26-02-18,36.01394383618912,1.7411011335566535,-8.9287030806618e-34,1549488676192.474,10838.491140240094,5427475.013927935,541001825964.5301,11002551737502438e4,3.2517124678079985,0.6434552615560823,1.3633642332036573,2.4976495116531314,92.1954445729831,26-02-18,-0.1654752293281181
27-02-18,37.54050761382401,1.7411011335566535,-8.9287030806618e-34,1266543463555.2605,9838.036119857357,5244930.3291515075,439383690812.4125,11101027511071025e4,3.0678715652312913,0.7869801114754046,1.347876747626868,1.8695572306956791,92.73618495501096,27-02-18,-0.1627121155680552
28-02-18,39.0727370477694,1.7411011335566535,-8.9287030806618e-34,1229459078706.479,9688.832157283296,4353462.484184804,381587266710.2663,11068114472238848e4,2.998257072485322,0.8867933807175657,1.352344065902844,0.8705669324078422,94.86832980510408,28-02-18,-0.16261578791262787
01-03-18,1.000000011,2.4082246917026264,-8.9287030806618e-34,1840795892573.8547,10122.797525531034,7777693.900026051,591241001554.9219,109481833552461e6,2.1827796114306324,0.7653060739792353,1.1787286286564342,0.0039810717055349205,94.86832980510408,01-03-18,-0.16246457890350707
02-03-18,2.1435469368620965,2.4082246917026264,-8.9287030806618e-34,1989818301784.1277,10932.481082484219,4923208.46979541,519517222661.35095,10786525852263798e4,2.601957794229379,1.000000003,1.310027862672856,0.0039810717055349205,92.1954445729831,02-03-18,-0.16444364849651336
03-03-18,3.3483695343790734,2.4082246917026264,-8.9287030806618e-34,2149437197605.1113,12537.462050426946,4550442.461571536,651961782367.6688,10511401330867005e4,4.020925277453328,1.2218288740136223,1.583191762048815,0.0039810717055349205,94.86832980510408,03-03-18,-0.16093816478843628
04-03-18,4.594793432623831,2.4082246917026264,-8.9287030806618e-34,2134471637321.6687,13312.288777290207,3480165.204682249,636025590237.4473,10669345838629985e4,4.226892903387187,1.0482280080906328,1.5707549567970485,0.0039810717055349205,97.46794344814094,04-03-18,-0.16174959957785892
05-03-18,5.8730947283609165,2.4082246917026264,-8.9287030806618e-34,2680242463602.0176,13429.971501593931,5631014.131688052,843802727157.1669,10872473817011151e4,3.6671272663986527,1.1578606166118217,1.5174195154751458,0.0039810717055349205,97.46794344814094,05-03-18,-0.16181055734623662
